time,id,data,type,units
2022-10-13 17:03:00,EnergyIn_ERTank2,4872.4,Energy,kWh
2022-10-13 17:03:00,PowerIn_ERTank2,0.0,Power,W
2022-10-13 17:03:00,Temp_HPWHCondensing,214.0,Temperature,F
2022-10-13 17:03:00,Temp_HPWHEvaporating,56.0,Temperature,F
2022-10-13 17:03:00,Temp1_ST2_high_TH15,146.0,Temperature,F
2022-10-13 17:03:00,Temp5_ST2_low_TH16,84.4,Temperature,F
2022-10-13 17:03:00,Temp_PrimaryStorageOutBottom_TH17,68.0,Temperature,F
2022-10-13 17:03:00,Frequency_QAHV,85.0,Frequency,Hz
2022-10-13 17:03:00,OAT_HPWH,34.0,Temperature,F
2022-10-13 17:03:00,Temp_HPWHInlet,97.0,Temperature,F
2022-10-13 17:03:00,Temp_HPWHOutlet,164.0,Temperature,F
2022-10-13 17:03:00,Duty_QAHVPump,30.0,,%
2022-10-13 17:03:00,Temp5_ST1_low,68.4,Temperature,F
2022-10-13 17:03:00,Temp4_ST1,107.8,Temperature,F
2022-10-13 17:03:00,Temp3_ST1,128.7,Temperature,F
2022-10-13 17:03:00,Temp2_ST1,140.5,Temperature,F
2022-10-13 17:03:00,Temp1_ST1_high,143.7,Temperature,F
2022-10-13 17:03:00,Temp4_ST2,100.9,Temperature,F
2022-10-13 17:03:00,Temp2_ST2,143.7,Temperature,F
2022-10-13 17:03:00,Temp5_ST3_low,67.6,Temperature,F
2022-10-13 17:03:00,Temp4_ST3,94.7,Temperature,F
2022-10-13 17:03:00,Temp3_ST3,121.4,Temperature,F
2022-10-13 17:03:00,Temp2_ST3,143.6,Temperature,F
2022-10-13 17:03:00,Temp1_ST3_high,148.4,Temperature,F
2022-10-13 17:03:00,Temp_SecLoopHexInlet,66.4,Temperature,F
2022-10-13 17:03:00,Temp_SecLoopHexOutlet,148.5,Temperature,F
2022-10-13 17:04:00,Temp_PrimaryPlantDelta_BTU,84.8,Temperature,F
2022-10-13 17:04:00,EnergyOut_PrimaryPlant_BTU,32.7,Energy,kWh
2022-10-13 17:04:00,Flow_CityWater_atSkid,2.6,Flow,gal/min
2022-10-13 17:04:00,Temp_CityWater_atSkid,65.3,Temperature,F
2022-10-13 17:04:00,Temp_PrimaryStorageOutTop,150.0,Temperature,F
2022-10-13 17:04:00,Flow_CityWater,2.6,Flow,gal/min
2022-10-13 17:04:00,Temp_CityWater,64.7,Temperature,F
2022-10-13 17:04:00,Flow_RecircReturn_MXV1,13.3,Flow,gal/min
2022-10-13 17:04:00,Temp_RecircReturn_MXV1_FM,131.6,Temperature,F
2022-10-13 17:04:00,Flow_RecircReturn_MXV2,12.8,Flow,gal/min
2022-10-13 17:04:00,Temp_RecircReturn_MXV2_FM,120.0,Temperature,F
2022-10-13 17:04:00,Temp_HotStorageInMechRoom,146.8,Temperature,F
2022-10-13 17:04:00,Temp_HotInlet_MXV1,91.1,Temperature,F
2022-10-13 17:04:00,Temp_RecircReturn_MXV1,130.5,Temperature,F
2022-10-13 17:04:00,ValvePosition_MXV1,5.0,,%
2022-10-13 17:04:00,Temp_HotInlet_MXV2,131.8,Temperature,F
2022-10-13 17:04:00,Temp_RecircReturn_MXV2,119.8,Temperature,F
2022-10-13 17:04:00,Temp_RecircSupply_MXV2,120.0,Temperature,F
2022-10-13 17:04:00,EnergyIn_HPWH,64232.2,Energy,kWh
2022-10-13 17:04:00,PowerIn_HPWH,9.6,Power,W
2022-10-13 17:04:00,PowerMeter_SkidAux_Energy,536.8,Energy,kWh
2022-10-13 17:04:00,PowerMeter_SkidAux_Power,0.1,Power,W
2022-10-13 17:04:00,EnergyIn_ERTank2,4872.4,Energy,kWh
2022-10-13 17:04:00,PowerIn_ERTank2,0.0,Power,W
2022-10-13 17:04:00,Temp_HPWHCondensing,216.0,Temperature,F
2022-10-13 17:04:00,Temp_HPWHEvaporating,62.0,Temperature,F
2022-10-13 17:04:00,Temp1_ST2_high_TH15,146.0,Temperature,F
2022-10-13 17:04:00,Temp5_ST2_low_TH16,84.1,Temperature,F
2022-10-13 17:04:00,Temp_PrimaryStorageOutBottom_TH17,68.0,Temperature,F
2022-10-13 17:04:00,Frequency_QAHV,63.0,Frequency,Hz
2022-10-13 17:04:00,OAT_HPWH,34.0,Temperature,F
2022-10-13 17:04:00,Temp_ThermoOff_Setpoint,0.0,Temperature,F
2022-10-13 17:04:00,Temp_HPWHInlet,110.0,Temperature,F
2022-10-13 17:04:00,Temp_HPWHOutlet,163.0,Temperature,F
2022-10-13 17:04:00,Duty_QAHVPump,32.0,,%
2022-10-13 17:04:00,Temp5_ST1_low,68.6,Temperature,F
2022-10-13 17:04:00,Temp4_ST1,107.9,Temperature,F
2022-10-13 17:04:00,Temp3_ST1,128.7,Temperature,F
2022-10-13 17:04:00,Temp2_ST1,140.5,Temperature,F
2022-10-13 17:04:00,Temp1_ST1_high,143.7,Temperature,F
2022-10-13 17:04:00,Temp4_ST2,100.2,Temperature,F
2022-10-13 17:04:00,Temp2_ST2,143.4,Temperature,F
2022-10-13 17:04:00,Temp5_ST3_low,67.4,Temperature,F
2022-10-13 17:04:00,Temp4_ST3,94.3,Temperature,F
2022-10-13 17:04:00,Temp3_ST3,120.8,Temperature,F
2022-10-13 17:04:00,Temp2_ST3,143.2,Temperature,F
2022-10-13 17:04:00,Temp1_ST3_high,148.4,Temperature,F
2022-10-13 17:04:00,Temp_SecLoopHexInlet,66.3,Temperature,F
2022-10-13 17:04:00,Temp_SecLoopHexOutlet,153.1,Temperature,F
2022-10-13 17:04:00,PowerIn_SecLoopPump,8.0,Power,W
2022-10-13 17:05:00,Temp_PrimaryPlantDelta_BTU,86.1,Temperature,F
2022-10-13 17:05:00,EnergyOut_PrimaryPlant_BTU,43.2,Energy,kWh
2022-10-13 17:05:00,Flow_CityWater_atSkid,3.5,Flow,gal/min
2022-10-13 17:05:00,Temp_CityWater_atSkid,65.3,Temperature,F
2022-10-13 17:05:00,Temp_PrimaryStorageOutTop,151.3,Temperature,F
2022-10-13 17:05:00,Flow_CityWater,4.0,Flow,gal/min
2022-10-13 17:05:00,Temp_CityWater,64.7,Temperature,F
2022-10-13 17:05:00,Flow_RecircReturn_MXV1,12.9,Flow,gal/min
2022-10-13 17:05:00,Temp_RecircReturn_MXV1_FM,131.6,Temperature,F
2022-10-13 17:05:00,Flow_RecircReturn_MXV2,12.5,Flow,gal/min
2022-10-13 17:05:00,Temp_RecircReturn_MXV2_FM,120.1,Temperature,F
2022-10-13 17:05:00,Temp_HotStorageInMechRoom,147.4,Temperature,F
2022-10-13 17:05:00,Temp_HotInlet_MXV1,91.1,Temperature,F
2022-10-13 17:05:00,Temp_RecircReturn_MXV1,130.5,Temperature,F
2022-10-13 17:05:00,Temp_RecircSupply_MXV1,131.0,Temperature,F
2022-10-13 17:05:00,ValvePosition_MXV1,5.0,,%
2022-10-13 17:05:00,Temp_HotInlet_MXV2,131.8,Temperature,F
2022-10-13 17:05:00,Temp_RecircReturn_MXV2,119.7,Temperature,F
2022-10-13 17:05:00,ValvePosition_MXV2,19.0,,%
2022-10-13 17:05:00,EnergyIn_HPWH,64232.4,Energy,kWh
2022-10-13 17:05:00,PowerIn_HPWH,10.1,Power,W
2022-10-13 17:05:00,PowerMeter_SkidAux_Energy,536.8,Energy,kWh
2022-10-13 17:05:00,PowerMeter_SkidAux_Power,0.1,Power,W
2022-10-13 17:05:00,EnergyIn_ERTank2,4872.4,Energy,kWh
2022-10-13 17:05:00,PowerIn_ERTank2,0.0,Power,W
2022-10-13 17:05:00,Temp_HPWHCondensing,211.0,Temperature,F
2022-10-13 17:05:00,Temp_HPWHEvaporating,69.0,Temperature,F
2022-10-13 17:05:00,Temp1_ST2_high_TH15,146.0,Temperature,F
2022-10-13 17:05:00,Temp5_ST2_low_TH16,83.8,Temperature,F
2022-10-13 17:05:00,Frequency_QAHV,63.0,Frequency,Hz
2022-10-13 17:05:00,Temp_ThermoOff_Setpoint,134.9,Temperature,F
2022-10-13 17:05:00,Temp_HPWHInlet,115.0,Temperature,F
2022-10-13 17:05:00,Temp_HPWHOutlet,157.0,Temperature,F
2022-10-13 17:05:00,Duty_QAHVPump,30.0,,%
2022-10-13 17:05:00,Temp5_ST1_low,68.7,Temperature,F
2022-10-13 17:05:00,Temp4_ST1,107.9,Temperature,F
2022-10-13 17:05:00,Temp3_ST1,128.7,Temperature,F
2022-10-13 17:05:00,Temp2_ST1,140.5,Temperature,F
2022-10-13 17:05:00,Temp1_ST1_high,143.7,Temperature,F
2022-10-13 17:05:00,Temp4_ST2,99.6,Temperature,F
2022-10-13 17:05:00,Temp2_ST2,143.3,Temperature,F
2022-10-13 17:05:00,Temp5_ST3_low,67.3,Temperature,F
2022-10-13 17:05:00,Temp4_ST3,94.0,Temperature,F
2022-10-13 17:05:00,Temp3_ST3,120.5,Temperature,F
2022-10-13 17:05:00,Temp2_ST3,143.1,Temperature,F
2022-10-13 17:05:00,Temp1_ST3_high,148.4,Temperature,F
2022-10-13 17:05:00,Temp_SecLoopHexInlet,66.3,Temperature,F
2022-10-13 17:05:00,Temp_SecLoopHexOutlet,151.3,Temperature,F
2022-10-13 17:05:00,Flow_SecLoop,3.1,Flow,gal/min
2022-10-13 17:05:00,PowerIn_SecLoopPump,10.0,Power,W
2022-10-13 17:06:00,Temp_PrimaryPlantDelta_BTU,87.8,Temperature,F
2022-10-13 17:06:00,EnergyOut_PrimaryPlant_BTU,56.9,Energy,kWh
2022-10-13 17:06:00,Flow_CityWater_atSkid,4.4,Flow,gal/min
2022-10-13 17:06:00,Temp_CityWater_atSkid,65.3,Temperature,F
2022-10-13 17:06:00,Temp_PrimaryStorageOutTop,153.1,Temperature,F
2022-10-13 17:06:00,Flow_CityWater,4.3,Flow,gal/min
2022-10-13 17:06:00,Temp_CityWater,64.6,Temperature,F
2022-10-13 17:06:00,Flow_RecircReturn_MXV1,13.3,Flow,gal/min
2022-10-13 17:06:00,Temp_RecircReturn_MXV1_FM,131.6,Temperature,F
2022-10-13 17:06:00,Flow_RecircReturn_MXV2,12.5,Flow,gal/min
2022-10-13 17:06:00,Temp_RecircReturn_MXV2_FM,119.9,Temperature,F
2022-10-13 17:06:00,Temp_HotStorageInMechRoom,148.7,Temperature,F
2022-10-13 17:06:00,Temp_HotInlet_MXV1,91.1,Temperature,F
2022-10-13 17:06:00,Temp_RecircReturn_MXV1,130.5,Temperature,F
2022-10-13 17:06:00,Temp_RecircSupply_MXV1,130.0,Temperature,F
2022-10-13 17:06:00,Temp_HotInlet_MXV2,131.7,Temperature,F
2022-10-13 17:06:00,Temp_RecircReturn_MXV2,119.6,Temperature,F
2022-10-13 17:06:00,Temp_RecircSupply_MXV2,119.0,Temperature,F
2022-10-13 17:06:00,ValvePosition_MXV2,19.0,,%
2022-10-13 17:06:00,EnergyIn_HPWH,64232.6,Energy,kWh
2022-10-13 17:06:00,PowerIn_HPWH,10.0,Power,W
2022-10-13 17:06:00,PowerMeter_SkidAux_Energy,536.8,Energy,kWh
2022-10-13 17:06:00,PowerMeter_SkidAux_Power,0.1,Power,W
2022-10-13 17:06:00,EnergyIn_ERTank2,4872.4,Energy,kWh
2022-10-13 17:06:00,PowerIn_ERTank2,0.0,Power,W
2022-10-13 17:06:00,Temp_HPWHCondensing,214.0,Temperature,F
2022-10-13 17:06:00,Temp_HPWHEvaporating,68.0,Temperature,F
2022-10-13 17:06:00,Temp5_ST2_low_TH16,83.6,Temperature,F
2022-10-13 17:06:00,Temp_ThermoOff_Setpoint,134.9,Temperature,F
2022-10-13 17:06:00,Temp_HPWHInlet,117.0,Temperature,F
2022-10-13 17:06:00,Temp_HPWHOutlet,160.0,Temperature,F
2022-10-13 17:06:00,Duty_QAHVPump,30.0,,%
2022-10-13 17:06:00,Temp5_ST1_low,68.6,Temperature,F
2022-10-13 17:06:00,Temp4_ST1,107.8,Temperature,F
2022-10-13 17:06:00,Temp3_ST1,128.7,Temperature,F
2022-10-13 17:06:00,Temp2_ST1,140.5,Temperature,F
2022-10-13 17:06:00,Temp1_ST1_high,143.7,Temperature,F
2022-10-13 17:06:00,Temp4_ST2,99.2,Temperature,F
2022-10-13 17:06:00,Temp2_ST2,143.2,Temperature,F
2022-10-13 17:06:00,Temp5_ST3_low,67.2,Temperature,F
2022-10-13 17:06:00,Temp4_ST3,93.5,Temperature,F
2022-10-13 17:06:00,Temp3_ST3,119.9,Temperature,F
